hr_mean,hrv_rmssd,hrv_pnn50,created_at,label
89.3,85.44003745317531,50,2025-11-13 18:11:23.648477,0
87.88,24.49489742783178,0,2025-11-13 18:11:26.004363,0
86.58,110,50,2025-11-13 18:11:28.010281,0
85.48,44.721359549995796,25,2025-11-13 18:11:30.244166,0
84.38,93.27379053088815,25,2025-11-13 18:11:32.717047,0
84,102.46950765959599,50,2025-11-13 18:11:34.668595,0
84,58.309518948453004,75,2025-11-13 18:11:36.935896,0
84.92,106.30145812734649,50,2025-11-13 18:11:39.142481,0
85,68.55654600401044,75,2025-11-13 18:11:41.28071,0
85,209.44370763206678,33.333333333333336,2025-11-13 18:11:43.551007,0
85,61.644140029689765,75,2025-11-13 18:11:45.827025,0
85,42.42640687119285,25,2025-11-13 18:11:47.944664,0
85.52,82.46211251235322,75,2025-11-13 18:11:50.196562,0
86.56,17.320508075688775,0,2025-11-13 18:11:52.624206,0
87.9,114.89125293076057,50,2025-11-13 18:11:54.592152,0
88.24,81.24038404635961,50,2025-11-13 18:11:56.827237,0
86.7,117.89826122551597,75,2025-11-13 18:11:59.086877,0
86,17.320508075688775,0,2025-11-13 18:12:01.238493,0
86.48,66.332495807108,75,2025-11-13 18:12:03.508064,0
85.74,400.6245124802026,75,2025-11-13 18:12:05.724388,0
85,43.58898943540674,25,2025-11-13 18:12:08.081727,0
85.46,119.16375287812986,50,2025-11-13 18:12:10.091408,0
86.08,153.29709716755892,100,2025-11-13 18:12:12.39507,0
86.34,36.51483716701107,33.333333333333336,2025-11-13 18:12:14.543679,0
85.72,26.457513110645905,0,2025-11-13 18:12:16.782794,0
85,122.47448713915891,50,2025-11-13 18:12:19.065226,0
85.48,22.360679774997898,0,2025-11-13 18:12:21.136965,0
85.84,37.416573867739416,25,2025-11-13 18:12:23.444099,0
85,51.63977794943222,33.333333333333336,2025-11-13 18:12:25.678415,0
85.78,110.90536506409417,75,2025-11-13 18:12:27.880927,0
86,277.60883751542684,33.333333333333336,2025-11-13 18:12:30.029309,0
86.08,95.39392014169457,50,2025-11-13 18:12:32.27071,0
87.18,71.4142842854285,75,2025-11-13 18:12:34.415038,0
88.98,38.72983346207417,25,2025-11-13 18:12:36.688168,0
89.62,78.74007874011811,50,2025-11-13 18:12:38.931048,0
88.1,110.45361017187261,100,2025-11-13 18:12:41.07755,0
86.9,130.7669683062202,75,2025-11-13 18:12:43.324588,0
85.12,96.95359714832658,50,2025-11-13 18:12:45.572125,0
83.22,64.8074069840786,75,2025-11-13 18:12:47.78266,0
82.12,70.71067811865476,75,2025-11-13 18:12:50.18754,0
82,37.416573867739416,25,2025-11-13 18:12:52.21986,0
82,34.64101615137755,25,2025-11-13 18:12:54.54156,0
82,486.2098312457287,66.66666666666667,2025-11-13 18:12:56.63467,0
81.68,85.44003745317531,50,2025-11-13 18:12:58.84858,0
80.58,37.416573867739416,25,2025-11-13 18:13:00.99176,0
81,43.58898943540674,50,2025-11-13 18:13:03.264226,0
81.42,22.360679774997898,0,2025-11-13 18:13:05.517171,0
80.28,24.49489742783178,0,2025-11-13 18:13:07.655827,0
80,28.284271247461902,0,2025-11-13 18:13:10.018998,0
80,41.23105625617661,25,2025-11-13 18:13:12.131133,0
80,59.16079783099616,75,2025-11-13 18:13:14.375601,0
80,125.69805089976535,75,2025-11-13 18:13:16.549898,0
80,151.98684153570665,25,2025-11-13 18:13:18.795456,0
80,61.644140029689765,75,2025-11-13 18:13:20.979894,0
85.48,41.23105625617661,25,2025-11-13 18:13:23.191373,0
85.48,214.94185260204677,75,2025-11-13 18:13:25.455205,0
85.48,73.48469228349535,50,2025-11-13 18:13:27.573361,0
85.48,44.721359549995796,50,2025-11-13 18:13:29.870542,0
85.48,242.0743687382041,50,2025-11-13 18:13:32.345675,0
85.48,213.7755832643195,100,2025-11-13 18:13:34.228121,0
85.48,47.958315233127195,50,2025-11-13 18:13:36.706951,0
85.48,46.9041575982343,50,2025-11-13 18:13:38.781094,0
82.42857142857143,31.622776601683793,0,2025-11-13 18:13:40.941279,0
85.34,37.416573867739416,25,2025-11-13 18:13:43.127634,0
85.86,38.72983346207417,25,2025-11-13 18:13:45.382169,0
84.34,38.72983346207417,25,2025-11-13 18:13:47.520789,0
83.66,33.166247903554,25,2025-11-13 18:13:49.837935,0
83,64.8074069840786,75,2025-11-13 18:13:52.195396,0
85.48,73.48469228349535,75,2025-11-13 18:13:54.182275,0
85.48,36.05551275463989,0,2025-11-13 18:13:56.527348,0
85.48,56.568542494923804,50,2025-11-13 18:13:58.664352,0
85.48,94.33981132056604,50,2025-11-13 18:14:00.819758,1
85.48,1146.9088891450795,100,2025-11-13 18:14:03.061559,1
85.48,163.40134638368193,50,2025-11-13 18:14:05.326407,1
82,428.01869118065395,33.333333333333336,2025-11-13 18:14:07.477192,1
82,38.297084310253524,33.333333333333336,2025-11-13 18:14:09.740041,1
82,37.416573867739416,25,2025-11-13 18:14:12.061811,1
83.02,1990.6280415989322,100,2025-11-13 18:14:14.14035,1
84.16,201.49441679609885,25,2025-11-13 18:14:16.379393,1
85.88,31.622776601683793,0,2025-11-13 18:14:18.841655,1
87.3,0,0,2025-11-13 18:14:20.750522,1
88.88,127.27922061357856,50,2025-11-13 18:14:23.035193,1
89.98,171.75564037317667,50,2025-11-13 18:14:25.282631,1
90.6,41.63331998932265,33.333333333333336,2025-11-13 18:14:27.423488,1
91.28,46.9041575982343,50,2025-11-13 18:14:29.634938,1
92.76,375.4996671103718,50,2025-11-13 18:14:31.909011,1
94.9,94.51631252505217,100,2025-11-13 18:14:34.344957,1
96.1,83.66600265340756,50,2025-11-13 18:14:36.310861,1
97.68,73.48469228349535,75,2025-11-13 18:14:38.687222,1
100.04,109.54451150103323,50,2025-11-13 18:14:40.683177,1
105.26,37.416573867739416,25,2025-11-13 18:14:42.918827,1
107.92,83.06623862918075,50,2025-11-13 18:14:45.284548,1
107.88,91.6515138991168,25,2025-11-13 18:14:47.387368,1
106.78,100.99504938362078,50,2025-11-13 18:14:49.586406,1
105.68,121.10601416389966,66.66666666666667,2025-11-13 18:14:51.854164,1
103.2,166.43316977093238,50,2025-11-13 18:14:54.19932,1
101.48,300.44411571316664,33.333333333333336,2025-11-13 18:14:56.313526,1
101,92.19544457292888,50,2025-11-13 18:14:58.51953,1
101,199.66638842495917,66.66666666666667,2025-11-13 18:15:00.628024,1
101,43.58898943540674,25,2025-11-13 18:15:02.864283,1
101,135.27749258468683,50,2025-11-13 18:15:05.158405,1
101,30,0,2025-11-13 18:15:07.262758,1
101,17.320508075688775,0,2025-11-13 18:15:09.57094,1
102.06,140.47538337136984,33.333333333333336,2025-11-13 18:15:11.771367,1
103.42,72.80109889280519,50,2025-11-13 18:15:14.035601,1
104.98,237.90754506740637,50,2025-11-13 18:15:16.181908,1
105.38,30,0,2025-11-13 18:15:18.418534,1
105,60.8276253029822,50,2025-11-13 18:15:20.585729,1
104.66,44.721359549995796,50,2025-11-13 18:15:22.852788,1
103.56,400.37482438335206,25,2025-11-13 18:15:25.080833,1
103.06,31.622776601683793,0,2025-11-13 18:15:27.272698,1
104,87.17797887081348,50,2025-11-13 18:15:29.498615,1
103.74,47.958315233127195,50,2025-11-13 18:15:31.756034,1
102.64,38.72983346207417,25,2025-11-13 18:15:33.930149,1
101.5,70.71067811865476,25,2025-11-13 18:15:36.34363,1
100,158.74507866387543,50,2025-11-13 18:15:38.391545,1
99.82,28.284271247461902,0,2025-11-13 18:15:40.677402,1
98.72,38.72983346207417,25,2025-11-13 18:15:42.772908,1
98,77.45966692414834,50,2025-11-13 18:15:44.986723,1
98,67.82329983125268,50,2025-11-13 18:15:47.140468,1
98,121.10601416389966,100,2025-11-13 18:15:49.466259,1
98,100.99504938362078,75,2025-11-13 18:15:51.650091,1
98,46.9041575982343,50,2025-11-13 18:15:53.79448,1
97.58,45.8257569495584,25,2025-11-13 18:15:56.182118,1
98,20,0,2025-11-13 18:15:58.272496,1
